"","Subcounty","HandWashing_Coverage"
"1","bukhalu",32.1428571428571
"2","bulegeni",60.1078167115903
"3","buluganya",72.5641025641026
"4","bumufuni",37.5821473302817
"5","bumugibole",61.6521497405486
"6","bunambutye",40.8641975308642
"7","bwikhonge",61.2653549768326
"8","kamu",49.1775719896236
"9","lusha",70.9185933209319
"10","muyembe",39.2680543056483
"11","nabongo",49.2179344570891
"12","namisuni",54.8468478105834
"13","simu",47.9582857813283
"14","sisiyi",67.0098383360589
"15","sotti",52.7274828714849
